date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:47:24	11393/11393	U--MC-	200	updated ('OK')	text/html	date:Fri,%2014%20Apr%202017%2009:47:24%20GMT	http://localhost/Documentation/appmanager/overview/	D:/Projects/CarLauncher/BaseSystem/Documents/AppManager/AppManager/localhost/Documentation/appmanager/overview/index.html	(from )
11:47:25	1053/1053	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2014%20Apr%202017%2009:47:24%20GMT	http://localhost/robots.txt		(from )
11:47:25	727/727	---M--	200	added ('OK')	application/javascript	etag:%222d7-54be3fe57e1db%22	http://localhost/Documentation/wp-content/themes/twentyfifteen/js/skip-link-focus-fix.js?ver=20141010	D:/Projects/CarLauncher/BaseSystem/Documents/AppManager/AppManager/localhost/Documentation/wp-content/themes/twentyfifteen/js/skip-link-focus-fixd01e.js	(from http://localhost/Documentation/appmanager/overview/)
11:47:26	13816/13816	U-----	200	untouched ('OK')	text/css	etag:%2235f8-54be50021d69f%22	http://localhost/Documentation/wp-content/plugins/jetpack/modules/theme-tools/compat/twentyfifteen.css?ver=4.7.1	D:/Projects/CarLauncher/BaseSystem/Documents/AppManager/AppManager/localhost/Documentation/wp-content/plugins/jetpack/modules/theme-tools/compat/twentyfifteen6996.css	(from http://localhost/Documentation/appmanager/overview/)
11:47:26	28266/28266	U-----	200	untouched ('OK')	text/css	etag:%226e6a-54be50064362e%22	http://localhost/Documentation/wp-content/plugins/jetpack/_inc/genericons/genericons/genericons.css?ver=3.1	D:/Projects/CarLauncher/BaseSystem/Documents/AppManager/AppManager/localhost/Documentation/wp-content/plugins/jetpack/_inc/genericons/genericons/genericons128b.css	(from http://localhost/Documentation/appmanager/overview/)
11:47:26	10056/10056	---M--	200	added ('OK')	application/javascript	etag:%222748-54be3fff39559%22	http://localhost/Documentation/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	D:/Projects/CarLauncher/BaseSystem/Documents/AppManager/AppManager/localhost/Documentation/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://localhost/Documentation/appmanager/overview/)
11:47:26	5920/5920	---M--	200	added ('OK')	application/javascript	etag:%221720-54be3fe565a2f%22	http://localhost/Documentation/wp-content/themes/twentyfifteen/js/functions.js?ver=20150330	D:/Projects/CarLauncher/BaseSystem/Documents/AppManager/AppManager/localhost/Documentation/wp-content/themes/twentyfifteen/js/functions8337.js	(from http://localhost/Documentation/appmanager/overview/)
11:47:26	97685/97685	U-----	200	untouched ('OK')	text/css	etag:%2217d95-54be3fe4ffe47%22	http://localhost/Documentation/wp-content/themes/twentyfifteen/style.css?ver=4.7.3	D:/Projects/CarLauncher/BaseSystem/Documents/AppManager/AppManager/localhost/Documentation/wp-content/themes/twentyfifteen/stylefe9d.css	(from http://localhost/Documentation/appmanager/overview/)
11:47:27	12874/12874	U-----	200	untouched ('')	image/png	etag:%22324a-54c0c0240ae10%22	http://localhost/Documentation/wp-content/uploads/2017/03/icon_256.png	D:/Projects/CarLauncher/BaseSystem/Documents/AppManager/AppManager/localhost/Documentation/wp-content/uploads/2017/03/icon_256.png	(from http://localhost/Documentation/appmanager/overview/)
11:47:29	11858/11858	U--MC-	200	updated ('OK')	text/html	date:Fri,%2014%20Apr%202017%2009:47:27%20GMT	http://localhost/Documentation/appmanager/license/	D:/Projects/CarLauncher/BaseSystem/Documents/AppManager/AppManager/localhost/Documentation/appmanager/license/index.html	(from http://localhost/Documentation/appmanager/overview/)
